bioid	biourl	fullname	wiki_fullname	wikientity	wikientity_dupechk	lastname	firstname	state	district	party	wiki_party	congress	wiki_congress	start time	end time
								OR	Oregon	Democrat	Democratic Party	48	48th United States Congress	1883-03-04T00:00:00Z	1885-03-04T00:00:00Z
A000017	https://bioguideretro.congress.gov/Static_Files/data/A/A000017.xml	James george Abourezk	James Abourezk	Q1366620	1	Abourezk	James george	SD	South Dakota	Democrat	Democratic Party	93	93rd United States Congress	1973-01-03T00:00:00Z	1975-01-03T00:00:00Z
								SD	South Dakota	Democrat	Democratic Party	94	94th United States Congress	1975-01-03T00:00:00Z	1977-01-03T00:00:00Z
								SD	South Dakota	Democrat	Democratic Party	95	95th United States Congress	1977-01-03T00:00:00Z	1979-01-03T00:00:00Z
E000286	https://bioguideretro.congress.gov/Static_Files/data/E/E000286.xml	John Edwards	John Edwards	Q217314	1	Edwards	John	NC	North Carolina	Democrat	Democratic Party	106	106th United States Congress	1999-01-03T00:00:00Z	2001-01-03T00:00:00Z
								NC	North Carolina	Democrat	Democratic Party	107	107th United States Congress	2001-01-03T00:00:00Z	2003-01-03T00:00:00Z
								NC	North Carolina	Democrat	Democratic Party	108	108th United States Congress	2003-01-03T00:00:00Z	2005-01-03T00:00:00Z
W000803	https://bioguideretro.congress.gov/Static_Files/data/W/W000803.xml	James h. (jim) Webb	Jim Webb	Q532279	1	Webb	James h. (jim)	VA	Virginia	Democrat	Democratic Party	110	110th United States Congress	2007-01-03T00:00:00Z	2009-01-03T00:00:00Z
								VA	Virginia	Democrat	Democratic Party	111	111th United States Congress	2009-01-03T00:00:00Z	2011-01-03T00:00:00Z
								VA	Virginia	Democrat	Democratic Party	112	112th United States Congress	2011-01-03T00:00:00Z	2013-01-03T00:00:00Z
B001117	https://bioguideretro.congress.gov/Static_Files/data/B/B001117.xml	Jacob Burnet	Jacob Burnet	Q1677447	1	Burnet	Jacob	OH	Ohio	Adams	Adams	20	20th United States Congress	1827-03-04T00:00:00Z	1829-03-04T00:00:00Z
								OH	Ohio	Adams	Adams	21	21st United States Congress	1829-03-04T00:00:00Z	1831-03-04T00:00:00Z
C000120	https://bioguideretro.congress.gov/Static_Files/data/C/C000120.xml	Howard walter Cannon	Howard Cannon	Q345564	1	Cannon	Howard walter	NV	Nevada	Democrat	Democratic Party	86	86th United States Congress	1959-01-03T00:00:00Z	1961-01-03T00:00:00Z
								NV	Nevada	Democrat	Democratic Party	87	87th United States Congress	1961-01-03T00:00:00Z	1963-01-03T00:00:00Z
								NV	Nevada	Democrat	Democratic Party	88	88th United States Congress	1963-01-03T00:00:00Z	1965-01-03T00:00:00Z
								NV	Nevada	Democrat	Democratic Party	89	89th United States Congress	1965-01-03T00:00:00Z	1967-01-03T00:00:00Z
								NV	Nevada	Democrat	Democratic Party	90	90th United States Congress	1967-01-03T00:00:00Z	1969-01-03T00:00:00Z
								NV	Nevada	Democrat	Democratic Party	91	91st United States Congress	1969-01-03T00:00:00Z	1971-01-03T00:00:00Z
								NV	Nevada	Democrat	Democratic Party	92	92nd United States Congress	1971-01-03T00:00:00Z	1973-01-03T00:00:00Z
								NV	Nevada	Democrat	Democratic Party	93	93rd United States Congress	1973-01-03T00:00:00Z	1975-01-03T00:00:00Z
								NV	Nevada	Democrat	Democratic Party	94	94th United States Congress	1975-01-03T00:00:00Z	1977-01-03T00:00:00Z
								NV	Nevada	Democrat	Democratic Party	95	95th United States Congress	1977-01-03T00:00:00Z	1979-01-03T00:00:00Z
								NV	Nevada	Democrat	Democratic Party	96	96th United States Congress	1979-01-03T00:00:00Z	1981-01-03T00:00:00Z
								NV	Nevada	Democrat	Democratic Party	97	97th United States Congress	1981-01-03T00:00:00Z	1983-01-03T00:00:00Z
B001103	https://bioguideretro.congress.gov/Static_Files/data/B/B001103.xml	Elmer jacob Burkett	Elmer Burkett	Q1332941	1	Burkett	Elmer jacob	NE	Nebraska	Republican	Republican Party	59	59th United States Congress	1905-03-04T00:00:00Z	1907-03-04T00:00:00Z
								NE	Nebraska	Republican	Republican Party	60	60th United States Congress	1907-03-04T00:00:00Z	1909-03-04T00:00:00Z
								NE	Nebraska	Republican	Republican Party	61	61st United States Congress	1909-03-04T00:00:00Z	1911-03-04T00:00:00Z
