term	class	state	senator	senator_name	rowvalChk
10	III	CT	T000348	Uriah Tracy	1
10	I	DE	W000392	Samuel White	1
10	II	DE	B000249	James asheton, sr. Bayard	1
10	II ?	GA	B000084	Abraham Baldwin	0
10	II	GA	C000895	William harris Crawford	1
10	II	GA	J000220	George Jones	1
10	III	GA	M000712	John Milledge	1
10	II	KY	T000249	Buckner Thruston	1
10	III	KY	P000431	John Pope	1
10	I	MA	A000041	John quincy Adams	1
10	I	MA	L000378	James Lloyd	1
10	II	MA	P000324	Timothy Pickering	1
10	I	MD	S000609	Samuel Smith	1
10	III	MD	R000125	Philip Reed	1
10	II	NC	T000423	James Turner	1
10	III	NC	F000344	Jesse Franklin	1
10	II	NH	G000215	Nicholas Gilman	1
10	III	NH	P000067	Nahum Parker	1
10	I	NJ	C000671	John Condit	1
10	II	NJ	K000246	Aaron Kitchell	1
10	I	NY	M000831	Samuel latham Mitchill	1
10	III	NY	S000566	John Smith	1
10	I	OH	M000633	Return jonathan, jr. Meigs	1
10	I	OH	S000567	John Smith	1
10	III	OH	T000268	Edward Tiffin	1
10	I	PA	L000229	Michael Leib	1
10	I	PA	M000029	Samuel Maclay	0
10	III	PA	G000442	Andrew Gregg	1
10	I	RI	H000870	Benjamin Howland	1
10	II	RI	F000074	James Fenner	1
10	II	RI	M000240	Elisha Mathewson	1
10	II	SC	S001073	Thomas Sumter	1
10	III	SC	G000005	John Gaillard	1
10	II	TN	S000524	Daniel Smith	1
10	I	TN	A000197	Joseph inslee Anderson	1
10	I	VA	M000891	Andrew Moore	1
10	II	VA	G000183	William branch Giles	1
10	I	VT	R000346	Jonathan Robinson	1
10	I	VT	S000557	Israel Smith	1
10	III	VT	B000745	Stephen row Bradley	1
11	I	CT	D000024	Samuel whittlesey Dana	1
11	I	CT	H000618	James Hillhouse	1
11	III	CT	G000293	Chauncey Goodrich	1
11	I	DE	H000795	Outerbridge Horsey	1
11	I	DE	W000392	Samuel White	1
11	II	DE	B000249	James asheton, sr. Bayard	1
11	II	GA	C000895	William harris Crawford	1
11	III	GA	M000712	John Milledge	1
11	III	GA	T000015	Charles Tait	1
11	II	KY	C000482	Henry Clay	1
11	II	KY	T000249	Buckner Thruston	1
11	III	KY	P000431	John Pope	1
11	I	MA	L000378	James Lloyd	1
11	II	MA	P000324	Timothy Pickering	1
11	I	MD	S000609	Samuel Smith	1
11	III	MD	R000125	Philip Reed	1
11	II	NC	T000423	James Turner	1
11	III	NC	F000344	Jesse Franklin	1
11	II	NH	G000215	Nicholas Gilman	1
11	III	NH	C001031	Charles Cutts	1
11	III	NH	P000067	Nahum Parker	1
11	I	NJ	L000036	John Lambert	1
11	II	NJ	C000671	John Condit	1
11	II	NJ	K000246	Aaron Kitchell	1
11	I	NY	G000136	Obadiah German	1
11	III	NY	S000566	John Smith	1
11	I	OH	M000633	Return jonathan, jr. Meigs	1
11	I	OH	W000750	Thomas Worthington	1
11	III	OH	C000076	Alexander Campbell	1
11	III	OH	G000489	Stanley Griswold	1
11	I	PA	L000229	Michael Leib	1
11	III	PA	G000442	Andrew Gregg	1
11	I	RI	C000289	Christopher grant Champlin	1
11	I	RI	M000076	Francis Malbone	1
11	II	RI	M000240	Elisha Mathewson	1
11	II	SC	S001073	Thomas Sumter	1
11	II	SC	T000085	John Taylor	1
11	III	SC	G000005	John Gaillard	1
11	II	TN	S000524	Daniel Smith	1
11	II	TN	W000411	Jenkin Whiteside	1
11	I	TN	A000197	Joseph inslee Anderson	1
11	I	VA	B000802	Richard Brent	1
11	II	VA	G000183	William branch Giles	1
11	I	VT	R000346	Jonathan Robinson	1
11	III	VT	B000745	Stephen row Bradley	1
12	I	CT	D000024	Samuel whittlesey Dana	1
12	III	CT	G000293	Chauncey Goodrich	1
12	I	DE	H000795	Outerbridge Horsey	1
12	II	DE	B000249	James asheton, sr. Bayard	1
12	II	GA	C000895	William harris Crawford	1
12	III	GA	T000015	Charles Tait	1
12	II	KY	B000433	George mortimer Bibb	1
12	III	KY	P000431	John Pope	1
12	II	LA	B000921	James Brown	1
12	II	LA	D000273	Jean noel Destréhan	1
12	II	LA	P000450	Thomas Posey	1
12	III	LA	M000056	Allan bowie Magruder	1
12	I	MA	L000378	James Lloyd	1
12	II	MA	V000074	Joseph bradley Varnum	1
12	I	MD	S000609	Samuel Smith	1
12	III	MD	R000125	Philip Reed	1
12	II	NC	T000423	James Turner	1
12	III	NC	F000344	Jesse Franklin	1
12	II	NH	G000215	Nicholas Gilman	1
12	III	NH	C001031	Charles Cutts	1
12	I	NJ	L000036	John Lambert	1
12	II	NJ	C000671	John Condit	1
12	I	NY	G000136	Obadiah German	1
12	III	NY	S000566	John Smith	1
12	I	OH	W000750	Thomas Worthington	1
12	III	OH	C000076	Alexander Campbell	1
12	I	PA	L000229	Michael Leib	1
12	III	PA	G000442	Andrew Gregg	1
12	I	RI	C000289	Christopher grant Champlin	1
12	I	RI	H000991	William Hunter	1
12	II	RI	H000865	Jeremiah brown Howell	1
12	II	SC	T000085	John Taylor	1
12	III	SC	G000005	John Gaillard	1
12	II	TN	C000083	George washington Campbell	1
12	II	TN	W000411	Jenkin Whiteside	1
12	I	TN	A000197	Joseph inslee Anderson	1
12	I	VA	B000802	Richard Brent	1
12	II	VA	G000183	William branch Giles	1
12	I	VT	R000346	Jonathan Robinson	1
12	III	VT	B000745	Stephen row Bradley	1
13	I	CT	D000024	Samuel whittlesey Dana	1
13	III	CT	D000002	David Daggett	1
13	III	CT	G000293	Chauncey Goodrich	1
13	I	DE	H000795	Outerbridge Horsey	1
13	II	DE	W000287	William hill Wells	1
13	II	GA	B000434	William wyatt Bibb	1
13	II	GA	B001051	William bellinger Bulloch	1
13	II	GA	C000895	William harris Crawford	1
13	III	GA	T000015	Charles Tait	1
13	II	KY	B000192	William taylor Barry	1
13	II	KY	B000433	George mortimer Bibb	1
13	II	KY	W000053	George Walker	1
13	III	KY	B000554	Jesse Bledsoe	1
13	III	KY	T000017	Isham Talbot	1
13	II	LA	B000921	James Brown	1
13	III	LA	F000389	Eligius Fromentin	1
13	I	MA	G000322	Christopher Gore	1
13	I	MA	L000378	James Lloyd	1
13	II	MA	V000074	Joseph bradley Varnum	1
13	I	MD	S000609	Samuel Smith	1
13	III	MD	G000264	Robert henry Goldsborough	1
13	II	NC	T000423	James Turner	1
13	III	NC	L000387	Francis Locke	1
13	III	NC	S000955	David Stone	1
13	II	NH	G000215	Nicholas Gilman	1
13	II	NH	T000220	Thomas weston Thompson	1
13	III	NH	C001031	Charles Cutts	1
13	III	NH	M000217	Jeremiah Mason	1
13	I	NJ	L000036	John Lambert	1
13	II	NJ	C000671	John Condit	1
13	I	NY	G000136	Obadiah German	1
13	III	NY	K000212	Rufus King	1
13	I	OH	K000141	Joseph Kerr	1
13	I	OH	W000750	Thomas Worthington	1
13	III	OH	M001003	Jeremiah Morrow	1
13	I	PA	L000229	Michael Leib	1
13	I	PA	R000313	Jonathan Roberts	1
13	III	PA	L000011	Abner Lacock	1
13	I	RI	H000991	William Hunter	1
13	II	RI	H000865	Jeremiah brown Howell	1
13	II	SC	T000085	John Taylor	1
13	III	SC	G000005	John Gaillard	1
13	II	TN	C000083	George washington Campbell	1
13	II	TN	W000324	Jesse Wharton	1
13	I	TN	A000197	Joseph inslee Anderson	1
13	I	VA	B000127	James Barbour	1
13	I	VA	B000802	Richard Brent	1
13	II	VA	G000183	William branch Giles	1
13	I	VT	R000346	Jonathan Robinson	1
13	III	VT	C000325	Dudley Chase	1
14	I	CT	D000024	Samuel whittlesey Dana	1
14	III	CT	D000002	David Daggett	1
14	I	DE	H000795	Outerbridge Horsey	1
14	II	DE	W000287	William hill Wells	1
14	II	GA	B000434	William wyatt Bibb	1
14	II	GA	T000382	George michael Troup	1
14	III	GA	T000015	Charles Tait	1
14	I	IN	N000118	James Noble	1
14	III	IN	T000102	Waller Taylor	1
14	II	KY	B000192	William taylor Barry	1
14	II	KY	H000186	Martin d. Hardin	1
14	III	KY	T000017	Isham Talbot	1
14	II	LA	B000921	James Brown	1
14	III	LA	F000389	Eligius Fromentin	1
14	I	MA	A000317	Eli porter Ashmun	1
14	I	MA	G000322	Christopher Gore	1
14	II	MA	V000074	Joseph bradley Varnum	1
14	I	MD	H000176	Alexander contee Hanson	1
14	I	MD	H000225	Robert goodloe Harper	1
14	III	MD	G000264	Robert henry Goldsborough	1
14	II	NC	S000949	Montfort Stokes	1
14	II	NC	T000423	James Turner	1
14	III	NC	L000387	Francis Locke	1
14	III	NC	M000034	Nathaniel Macon	1
14	II	NH	T000220	Thomas weston Thompson	1
14	III	NH	M000217	Jeremiah Mason	1
14	I	NJ	W000595	James jefferson Wilson	1
14	II	NJ	C000671	John Condit	1
14	I	NY	S000052	Nathan Sanford	1
14	III	NY	K000212	Rufus King	1
14	I	OH	R000500	Benjamin Ruggles	1
14	III	OH	M001003	Jeremiah Morrow	1
14	I	PA	R000313	Jonathan Roberts	1
14	III	PA	L000011	Abner Lacock	1
14	I	RI	H000991	William Hunter	1
14	II	RI	H000865	Jeremiah brown Howell	1
14	II	SC	S000628	William Smith	1
14	II	SC	T000085	John Taylor	1
14	III	SC	G000005	John Gaillard	1
14	I	TN	C000083	George washington Campbell	1
14	II	TN	W000324	Jesse Wharton	1
14	II	TN	W000516	John Williams	1
14	I	VA	B000127	James Barbour	1
14	II	VA	M000213	Armistead thomson Mason	1
14	I	VT	T000264	Isaac Tichenor	1
14	III	VT	C000325	Dudley Chase	1
15	I	CT	D000024	Samuel whittlesey Dana	1
15	III	CT	D000002	David Daggett	1
15	I	DE	H000795	Outerbridge Horsey	1
15	II	DE	V000037	Nicholas Van dyke	1
15	II	GA	F000284	John Forsyth	1
15	II	GA	T000382	George michael Troup	1
15	III	GA	T000015	Charles Tait	1
15	II	IL	T000171	Jesse burgess Thomas	1
15	III	IL	E000078	Ninian Edwards	1
15	I	IN	N000118	James Noble	1
15	III	IN	T000102	Waller Taylor	1
15	II	KY	C000912	John jordan Crittenden	1
15	III	KY	T000017	Isham Talbot	1
15	II	LA	C000408	William charles cole Claiborne	1
15	II	LA	J000137	Henry Johnson	1
15	III	LA	F000389	Eligius Fromentin	1
15	I	MA	A000317	Eli porter Ashmun	1
15	I	MA	M000636	Prentiss Mellen	1
15	II	MA	O000127	Harrison gray Otis	1
15	I	MD	H000176	Alexander contee Hanson	1
15	III	MD	G000264	Robert henry Goldsborough	1
15	I	MS	L000177	Walter Leake	1
15	II	MS	W000540	Thomas hill Williams	1
15	II	NC	S000949	Montfort Stokes	1
15	III	NC	M000034	Nathaniel Macon	1
15	II	NH	M000966	David lawrence Morril	1
15	III	NH	M000217	Jeremiah Mason	1
15	III	NH	S000972	Clement Storer	1
15	I	NJ	W000595	James jefferson Wilson	1
15	II	NJ	D000308	Mahlon Dickerson	1
15	I	NY	S000052	Nathan Sanford	1
15	III	NY	K000212	Rufus King	1
15	I	OH	R000500	Benjamin Ruggles	1
15	III	OH	M001003	Jeremiah Morrow	1
15	I	PA	R000313	Jonathan Roberts	1
15	III	PA	L000011	Abner Lacock	1
15	I	RI	H000991	William Hunter	1
15	II	RI	B001137	James, jr. Burrill	1
15	II	SC	S000628	William Smith	1
15	III	SC	G000005	John Gaillard	1
15	I	TN	C000083	George washington Campbell	1
15	I	TN	E000024	John henry Eaton	1
15	II	TN	W000516	John Williams	1
15	I	VA	B000127	James Barbour	1
15	II	VA	E000197	John wayles Eppes	1
15	I	VT	T000264	Isaac Tichenor	1
15	III	VT	C000325	Dudley Chase	1
15	III	VT	F000154	James Fisk	1
15	III	VT	P000045	William adams Palmer	1
16	II	AL	K000217	William rufus de vane King	1
16	III	AL	W000061	John williams Walker	1
16	I	CT	D000024	Samuel whittlesey Dana	1
16	III	CT	L000083	James Lanman	1
16	I	DE	H000795	Outerbridge Horsey	1
16	II	DE	V000037	Nicholas Van dyke	1
16	II	GA	W000052	Freeman Walker	1
16	III	GA	E000124	John Elliott	1
16	II	IL	T000171	Jesse burgess Thomas	1
16	III	IL	E000078	Ninian Edwards	1
16	I	IN	N000118	James Noble	1
16	III	IN	T000102	Waller Taylor	1
16	II	KY	J000170	Richard mentor Johnson	1
16	III	KY	L000405	William Logan	1
16	III	KY	T000017	Isham Talbot	1
16	II	LA	J000137	Henry Johnson	1
16	III	LA	B000921	James Brown	1
16	I	MA	M000774	Elijah hunt Mills	1
16	I	MA	M000636	Prentiss Mellen	1
16	II	MA	O000127	Harrison gray Otis	1
16	I	MD	H000176	Alexander contee Hanson	1
16	I	MD	P000362	William Pinkney	1
16	III	MD	L000376	Edward Lloyd	1
16	I	ME	H000739	John Holmes	1
16	II	ME	C000291	John Chandler	1
16	I	MS	H000735	David Holmes	1
16	I	MS	L000177	Walter Leake	1
16	II	MS	W000540	Thomas hill Williams	1
16	II	NC	S000949	Montfort Stokes	1
16	III	NC	M000034	Nathaniel Macon	1
16	II	NH	M000966	David lawrence Morril	1
16	III	NH	P000084	John fabyan Parrott	1
16	I	NJ	S000689	Samuel lewis Southard	1
16	I	NJ	W000595	James jefferson Wilson	1
16	II	NJ	D000308	Mahlon Dickerson	1
